Sample;Plant_species;P-Ser;Asp;OH-Pro;Thr;Ser;Glu;A-AAA;Pro;Gly;Ala;Citr;Val;Cys;Met;Ile;Leu;Tyr;B-ALA;Phe;B-AIBA;GABA;Ammoniumsulfat;Orn;Lysin;1-Meth;His;Arg;Summe_AS_(mg/g);Summe_AS_essential(mg/g);Summe_AS_non_essential(mg/g);;;;;;;
NB347;Cirsium_arvense;0;3.79905953;0;1.40574141;2.00475713;3.36962477;0;1.81337272;2.68638397;2.25539752;0;0.92282472;0.26701473;0.61593876;0.70315961;2.49428392;1.13833589;0;1.37724392;0;0;1.16741793;0;2.15646008;0;1.44813374;1.62383233;3.124898268;1.059115841;2.065782427;;;;;;;
LN26;Cirsium_vulgare;0;8.408486957;0;3.916243478;5.577113043;6.599930435;0;5.531895652;7.731686957;7.637913043;0;1.652452174;0;0.655513043;1.736208696;6.588521739;1.857113043;0;2.328765217;0;0;9.000973913;0;4.464;0;1.335791304;2.682504348;7.770511304;2.0896;5.680911304;;;;;;;
LN16;Conium_maculatum;0;6.9056;0;2.737813333;4.813706667;5.17632;0;5.009386667;6.81536;5.791946667;0.228426667;1.59552;0;1.09216;1.583626667;5.36368;1.241706667;0;1.99296;0;0;9.3736;0;3.67712;0;1.525333333;2.229173333;6.715344;1.812026667;4.903317333;;;;;;;
LN280;Cornus_sanguinea;0.42674238;9.85843993;0.3822876;3.18128253;4.65650483;7.72840584;0;5.43327436;4.7308586;6.04041267;0;2.52377045;0.12452444;1.68586256;2.04145058;6.67269277;2.57790651;0;3.79026789;0;0.17174356;1.61891118;0;6.21766521;0;1.72933342;3.58640116;7.517873847;2.521106136;4.996767711;;;;;;;
NB189;Crataegus_laevigata;0.590349;22.814515;2.4006815;8.32693318;12.8699632;18.3710086;0;21.3840051;11.3412104;14.6054637;0;6.15066247;1.05050542;4.37250253;4.38934034;13.9031464;6.2423575;0;8.20585086;0;1.94231868;2.65990742;0.18540093;14.2400897;0;3.74157444;8.81797036;18.86057567;5.790798058;13.06977762;;;;;;;
LN273;Crataegus_monogyna;0.1088388;8.45270184;0;3.07369469;5.09756861;6.43690771;0;5.68722912;4.63025746;5.65046539;0;2.23280064;0;1.51775789;1.57490381;5.86161715;2.13108595;0;3.05408544;0;0;2.28658464;0;5.44165757;0;1.44671232;3.38711693;6.807198596;2.214868887;4.592329709;;;;;;;
NB368;Crepis_biennis;0.09049673;7.70186306;1.54371466;2.74462389;4.18120305;5.87979021;0;4.1616268;4.87183146;5.71038777;0;1.80952934;0.64027811;1.35250877;1.49762771;5.41567631;2.7575427;0;2.93342064;0;0.1949164;1.22701361;0;5.70400656;0;1.948608;3.13603101;6.550269679;2.083802567;4.466467112;;;;;;;
NB335;Echium_plantagineum;0;3.17387598;0;1.02127059;1.73591568;2.61951267;0;1.30671879;1.79685762;1.82595303;0;0.68396748;0;0.70738704;0.50365056;1.88833536;0.6148116;0;0.99263724;0;0;1.0578492;0;1.70062764;0;0.48706416;1.03328472;2.314971936;0.731759715;1.583212221;;;;;;;
MS048;Euphrasia_officinalis;0.065513709;10.02510321;0;3.412388008;5.303518585;8.918273507;0;5.365656682;5.388398122;0;0;0;0.845410813;2.543498779;2.082384303;5.575629878;2.871901743;0;4.062375815;0;0;2.018103916;0;5.867563099;0;1.837149777;3.789741171;6.997261112;2.330316773;4.666944339;;;;;;;
NB79;Fagus_sylvatica;0.12501542;5.46032667;0;1.8147664;2.9486856;4.57379367;0;2.75818664;3.29684448;3.7580976;0;1.36440688;0;1.01748975;0.98640136;3.73151884;1.45526662;0;2.08880882;0;0.1286688;1.20275782;0;3.49664325;0;1.24483568;2.32021731;4.377273161;1.456844504;2.920428657;;;;;;;
